Customer Id,Customer City,Customer Country,Customer Fname,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode
20755,Caguas,Caribbean,Cally,Holloway,Consumer,PR,5365 Noble Nectar Island,725
19492,Caguas,Caribbean,Irene,Luna,Consumer,PR,2679 Rustic Loop,725
19491,San Jose,United States,Gillian,Maldonado,Consumer,CA,8510 Round Bear Gate,95125
19490,Los Angeles,United States,Tana,Tate,Home Office,CA,3200 Amber Bend,90027
19489,Caguas,Caribbean,Orli,Hendricks,Corporate,PR,8671 Iron Anchor Corners,725
19488,Tonawanda,United States,Kimberly,Flowers,Consumer,NY,2122 Hazy Corner,14150
19487,Caguas,Caribbean,Constance,Terrell,Home Office,PR,1879 Green Pine Bank,725
19486,Miami,United States,Erica,Stevens,Corporate,FL,7595 Cotton Log Row,33162
19485,Caguas,Caribbean,Nichole,Olsen,Corporate,PR,2051 Dusty Route,725
19484,San Ramon,United States,Oprah,Delacruz,Corporate,CA,9139 Blue Blossom Court,94583
19483,Caguas,Caribbean,Germane,Short,Corporate,PR,4058 Quiet Heights,725
19482,Freeport,United States,Freya,Robbins,Consumer,NY,3243 Shady Corner,11520
19481,Salinas,United States,Cassandra,Jensen,Corporate,CA,131 Sunny Treasure Green,93905
19480,Caguas,Caribbean,Natalie,Mcfadden,Corporate,PR,2531 Wishing Square,725
19479,Peabody,United States,Kimberley,Sharpe,Corporate,MA,6417 Silver Towers,1960
19478,Caguas,Caribbean,Sade,Lancaster,Corporate,PR,257 Harvest Close,725
19477,Canovanas,Caribbean,Brynne,Giles,Corporate,PR,7342 Hazy Beacon Park,729
19476,Paramount,United States,Ciara,Bird,Corporate,CA,7787 Lazy Corners,90723
19475,Caguas,Caribbean,Bo,Griffin,Consumer,PR,5136 Rustic Pioneer Estates,725
19474,Mount Prospect,United States,Kim,Simon,Consumer,IL,1723 Tawny Via,60056
19473,Long Beach,United States,Kellie,Farmer,Corporate,CA,7111 Silent Fox Gardens,90813
19472,Caguas,Caribbean,Alma,Conley,Corporate,PR,3732 Old Mountain Bank,725
19471,Rancho Cordova,United States,Yeo,Bird,Corporate,CA,6217 Rustic Lake Forest,95670
19470,Caguas,Caribbean,Lucy,Mcknight,Corporate,PR,1082 Quiet Treasure Link,725
19469,Billings,United States,Simone,Vance,Corporate,MT,3176 Round Gate,59102
19468,Caguas,Caribbean,Roary,Wheeler,Corporate,PR,1426 Fallen Line,725
19467,Wilkes Barre,United States,Quail,Ashley,Consumer,PA,9814 Emerald Prairie Limits,18702
19466,Caguas,Caribbean,Hannah,Velez,Corporate,PR,8271 Tawny Elk Abbey,725
19465,Roseville,United States,Evelyn,Kelly,Corporate,MI,3931 Gentle Ramp,48066
19464,Bellflower,United States,Jael,Mcfarland,Consumer,CA,9699 Honey Rise,90706
19463,Caguas,Caribbean,Teagan,Romero,Consumer,PR,1564 Rocky Terrace,725
19462,Wheaton,United States,Joan,Wilder,Consumer,IL,4294 High Passage,60187
19461,Caguas,Caribbean,Basia,Watts,Consumer,PR,5918 Golden Beacon Freeway,725
19460,Detroit,United States,Dominique,Rogers,Consumer,MI,3915 Broad Lookout,48238
19459,Dallas,United States,Ainsley,Mathis,Consumer,TX,7190 Silver Horse Glade,75220
19458,Caguas,Caribbean,Aurora,Sharp,Corporate,PR,830 Broad Beacon Maze,725
19457,Carlisle,United States,Libby,Bray,Corporate,PA,6127 Dewy Goose Downs,17013
19456,Dallas,United States,Amy,Lindsay,Corporate,TX,1188 Old Abbey,75228
19455,Caguas,Caribbean,Ivory,Parks,Consumer,PR,7004 Hazy Lake Townline,725
19454,Newark,United States,Karina,Prince,Consumer,DE,2556 Umber Autoroute,19702
19453,Panorama City,United States,Deanna,Goff,Consumer,CA,3722 Thunder Cape,91402
19452,Caguas,Caribbean,Dacey,Walters,Home Office,PR,2676 Velvet Common,725
19451,Atlanta,United States,Adele,Pennington,Home Office,GA,833 Amber Anchor Glen,30318
19450,Caguas,Caribbean,Sybill,Spencer,Home Office,PR,830 Quaking Bear Grounds,725
19449,Fremont,United States,Kay,Sandoval,Consumer,CA,1509 Middle Oak Isle,94539
19448,Caguas,Caribbean,Stacy,Mckinney,Corporate,PR,9712 Fallen Robin Diversion,725
19447,Rochester,United States,Marah,Lara,Corporate,NY,8665 Sunny Deer Woods,14609
19446,Dallas,United States,Taylor,Wood,Corporate,TX,9879 Harvest Deer Farms,75211
9083,Bayamon,Caribbean,Mary,Frank,Home Office,PR,75 Sunny Grounds,957
4741,Caguas,Caribbean,Mary,Smith,Home Office,PR,9731 Honey Fox Towers,725
639,Caguas,Caribbean,Elizabeth,Pittman,Home Office,PR,7573 Golden Treasure Centre,725
9702,Caguas,Caribbean,Katherine,Tyler,Home Office,PR,8369 Sunny Crossing,725
9114,Caguas,Caribbean,Mary,Smith,Home Office,PR,1425 Fallen Fox Arbor,725
1362,Caguas,Caribbean,Dennis,Smith,Home Office,PR,2290 Crystal Pathway,725
8011,Caguas,Caribbean,Mary,Hill,Home Office,PR,6179 Noble Panda Moor,725
3296,Caguas,Caribbean,Mary,Smith,Home Office,PR,8205 Silver Grove Row,725
